n_test_pairs	n_pos	n_neg	prevalence	AUROC	AUPR_raw	AUPR_normalized	dataset	setting	seed	similarity_bin	n_test_drugs	mean_max_train_drug_tanimoto	valid_metric_seed	upstream_source
198	35	163	0.17676767676767677	0.6476774758983348	0.2886208015075494	0.13587066686193114	MDS	drug_cold	0	Medium	6	0.5667510848371304	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1214	433	781	0.35667215815486	0.6841173009081151	0.5236096954212787	0.25949061490580316	MDS	drug_cold	0	Low	26	0.21191363681062014	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
325	58	267	0.17846153846153845	0.753261009944466	0.4311758315922827	0.307611030964389	MDS	drug_cold	1	High	6	0.8202138865949288	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
423	94	329	0.2222222222222222	0.5615339843497381	0.24666438092273635	0.03142563261494675	MDS	drug_cold	1	Medium	7	0.5363612273149726	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
2226	1335	891	0.5997304582210242	0.7422186912823617	0.7785505586672685	0.4467492071754655	MDS	drug_cold	1	Low	21	0.18154244982696233	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
611	362	249	0.5924713584288053	0.7667243559874858	0.7467645580361414	0.3786070078718168	MDS	drug_cold	2	High	5	0.7944468937021584	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
378	93	285	0.24603174603174602	0.4072061875117902	0.21286597136087648	-0.04398829061610065	MDS	drug_cold	2	Medium	5	0.5151205865260152	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
1189	634	555	0.5332211942809083	0.8996333873305482	0.883948704446609	0.7513783956522849	MDS	drug_cold	2	Low	12	0.1339572391111756	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
826	640	186	0.774818401937046	0.575882056451613	0.7894329707881023	0.0649012573708198	MDS	drug_cold	3	High	7	0.9113392061308615	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
271	67	204	0.24723247232472326	0.507243195785777	0.27691236709138256	0.03942770334198368	MDS	drug_cold	3	Medium	7	0.55479275224483	True	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv
