Resource	Platform	Dataset	Metric	top_frac	top_k	n_pairs	n_drugs	n_precursors	Spearman(score, external)	P_spearman	Top_mean	Background_mean	Enrichment_ratio	Empirical_p	source	upstream_source
CellMiner	OSU	MDS	is_fdr_lt_0_05	0.1	1010	10094	51	198	0.0186808134986989	0.0605493337611856	0.0158415841584158	0.0065385377451951	2.422802280228023	0.0003999200159968	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed10_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.01	94	9307	49	190	0.0345778664233535	0.0008487921249125	0.1798432887820382	0.1462989120118008	1.2292865771109198	0.0013997200559888	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.01	94	9307	49	190	0.0345778664233535	0.0008487921249125	0.2127659574468085	0.1602019984957559	1.3281105070137134	0.1017796440711857	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.01	94	9307	49	190	0.0345778664233535	0.0008487921249125	0.0531914893617021	0.0234232298270119	2.2708861994924847	0.0717856428714257	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.01	94	9307	49	190	0.0345778664233535	0.0008487921249125	0.0106382978723404	0.007091436553132	1.500161186331399	0.4797040591881624	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.05	466	9307	49	190	0.0345778664233535	0.0008487921249125	0.1748485327893125	0.1462989120118008	1.19514581745631	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_p_lt_0_05	0.05	466	9307	49	190	0.0345778664233535	0.0008487921249125	0.2253218884120171	0.1602019984957559	1.406486127062806	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_1	0.05	466	9307	49	190	0.0345778664233535	0.0008487921249125	0.0515021459227467	0.0234232298270119	2.19876363350002	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	is_fdr_lt_0_05	0.05	466	9307	49	190	0.0345778664233535	0.0008487921249125	0.0171673819742489	0.007091436553132	2.420860970217193	0.0175964807038592	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
CellMiner	OSU	MDR	abs_spearman_rho	0.1	931	9307	49	190	0.0345778664233535	0.0008487921249125	0.1694204530902572	0.1462989120118008	1.1580431512477092	0.0001999600079984	external_validation/processed/CellMiner/enrichment_multiseed/CellMiner_OSU_seed11_enrichment_summary.csv	formal_runs/table_exports/external_enrichment_final_raw.tsv
